maturity_years,yield_pct,nss_fitted,nss_residual
0.5,1.95,1.9512950273948793,-0.0012950273948793
1.0,1.95,1.949549763251264,0.0004502367487360104
2.0,1.99,1.9863924013167935,0.003607598683206481
3.0,2.06,2.0599565183321964,4.3481667803657587e-05
4.0,2.15,2.1549812089548217,-0.004981208954821792
5.0,2.26,2.2607410218570365,-0.0007410218570367277
6.0,2.37,2.369838530630003,0.00016146936999694717
7.0,2.48,2.477303179921466,0.0026968200785337793
8.0,2.58,2.579920582895796,7.941710420400483e-05
9.0,2.68,2.675734967876209,0.004265032123791368
10.0,2.76,2.7636815053213906,-0.0036815053213907767
11.0,2.84,2.843315873318434,-0.0033158733184341926
12.0,2.92,2.9146164627172233,0.005383537282776629
13.0,2.98,2.977840706355713,0.002159293644286908
14.0,3.03,3.0334216147070614,-0.003421614707061593
15.0,3.08,3.081894072670953,-0.0018940726709528732
16.0,3.12,3.1238430722913373,-0.0038430722913371795
17.0,3.16,3.159868031133624,0.00013196886637611982
18.0,3.19,3.1905588330399386,-0.0005588330399386443
19.0,3.22,3.2164803461199316,0.003519653880068585
20.0,3.24,3.238163012381367,0.0018369876186330458
21.0,3.26,3.2560977327098537,0.0039022672901460886
22.0,3.27,3.270733741705241,-0.0007337417052410977
23.0,3.28,3.2824785183075607,-0.002478518307560851
24.0,3.29,3.2916990397810206,-0.0016990397810205948
25.0,3.3,3.298723880816728,0.0012761191832719732
26.0,3.3,3.3038458031293283,-0.0038458031293284733
27.0,3.31,3.307324586677204,0.002675413322795972
28.0,3.31,3.309389931109845,0.0006100688901549134
29.0,3.31,3.3102443124468777,-0.0002443124468776148
30.0,3.31,3.3100657207363255,-6.572073632549191e-05
